,value
n_fixations_mean,291.1666666666667
n_fixations_sd,29.260325812722364
MFD_ms_mean,591.9824316972798
MFD_ms_sd,285.23345194255745
total_dwell_ms_mean,146622.3488333359
total_dwell_ms_sd,26941.549587015288
dispersion_r_mean,443.45874456022676
dispersion_r_sd,62.14834698488227
scanpath_len_px_mean,3973.5458605068193
scanpath_len_px_sd,720.0594233134404
