Participant_ID,Image,n_fixations,mean_fix_dur_ms,total_dwell_ms,dispersion_x,dispersion_y,dispersion_r,scanpath_len_px,image_is_true,Rating,condition
P01,false\a-view-of-mount-etna-and-a-nearby-town.jpg!Large.jpg,12.0,425.39466666661,5104.7359999993205,394.42661490903566,87.40773947969436,403.9956280327187,4562.123849563827,False,4,familiar
P01,false\american-village.jpg!Large.jpg,7.0,297.71500000034786,2084.005000002435,519.2238452163888,196.71215702404243,555.2378536828554,4824.878798910719,False,3,familiar
P01,false\berliner-stra-e-im-sonnenschein-1920.jpg!Large.jpg,11.0,216.96263636377725,2386.5890000015497,524.4734443951393,158.24373798616028,547.8261352724364,4422.01413826769,False,4,familiar
P01,false\boulevard-montmartre-morning-grey-weather-1897.jpg!Large.jpg,11.0,689.2571818184065,7581.829000002472,447.14377621940145,261.7783841073742,518.1365447424203,5611.928844671315,False,4,familiar
P01,false\little-cobbler-s-shop.jpg,11.0,183.9818181817298,2023.799999999028,602.6349510230582,222.5369695592486,642.4107619079693,5259.448394068757,False,4,familiar
P01,false\new-york-1957.jpg!Large.jpg,13.0,125.48061538473121,1631.2480000015057,613.7048157161851,129.72163818686786,627.2649394371738,4795.725203387632,False,2,unfamiliar
P01,false\ng-m-03667.jpg!Large.jpg,10.0,214.54149999990477,2145.4149999990477,528.8203043387646,112.41516801545377,540.636739669888,3581.7774395537626,False,1,unfamiliar
P01,false\paris-in-the-morning.jpg!Large.jpg,9.0,218.15388888858757,1963.384999997288,420.87883860202817,159.5201555134953,450.09518637510644,5851.214989114706,False,4,familiar
P01,false\paris-wagram-avenue-1925.jpg!Large.jpg,9.0,1168.051555555697,10512.464000001273,406.36124880376013,168.6794576248316,439.97979948397494,3188.404361158424,False,1,unfamiliar
P01,false\port-at-dieppe-1909.jpg!Large.jpg,8.0,725.0171249997948,5800.136999998358,415.64092236754783,85.80290824403222,424.4048956005099,4577.029695494913,False,2,unfamiliar
P01,false\the-watering-place-at-marly-le-roi-hoarfrost-1875.jpg!Large.jpg,7.0,953.6984285714425,6675.889000000097,558.0380088089534,135.8107071749224,574.3265338279384,3965.0398544109594,False,1,unfamiliar
P01,false\view-of-venice-the-ducal-palace-dogana-and-part-of-san-giorgio-1841.jpg,10.0,235.62309999961144,2356.2309999961144,630.3178851043572,164.2979596251043,651.3788880670005,3875.9084142107076,False,3,familiar
P01,false\vor-dem-caf-berlin-bei-nacht-1920.jpg,9.0,1077.418555555495,9696.766999999454,511.740971101216,169.41296498703997,539.0543332627201,5687.277801231261,False,2,unfamiliar
P01,false\westminster-bridge-from-the-north-on-lord-mayor-s-day-1746.jpg!Large.jpg,13.0,164.95669230789645,2144.437000002654,527.6887465433696,173.02413485273888,555.3312205072314,5602.06005443134,False,3,familiar
P01,false\winter-in-new-york-3x-101x51cm-hst-rehaussee-argent-2015-640x410.jpg,9.0,1067.4227777775134,9606.804999997621,408.71544408226754,178.39016370927996,445.9499576629522,3865.17489588798,False,5,familiar
